game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822954,2026-07-09,641857,"McMahon, Ryan",TB,5,5,2,0,2,0,0,0,0,2,0,0,2,4,2026
822954,2026-07-09,663757,"Grisham, Trent",TB,5,5,2,1,1,0,0,0,0,0,0,0,1,3,2026
822954,2026-07-09,665862,"Chisholm Jr., Jazz",TB,5,3,0,0,0,0,0,1,0,0,0,0,1,0,2026
822954,2026-07-09,669224,"Wells, Austin",TB,5,4,1,0,0,0,1,1,0,1,0,0,1,4,2026
822954,2026-07-09,676609,"Caballero, José",TB,5,4,1,1,0,0,0,0,0,1,0,0,1,1,2026
822954,2026-07-09,680474,"Schuemann, Max",TB,5,4,2,1,1,0,0,0,1,1,0,0,0,3,2026
822954,2026-07-09,691176,"Domínguez, Jasson",TB,5,4,2,2,0,0,0,1,0,1,0,0,0,2,2026
822954,2026-07-09,700250,"Rice, Ben",TB,5,4,2,0,0,0,2,1,0,1,0,0,5,8,2026
822956,2026-07-07,502671,"Goldschmidt, Paul",TB,4,4,0,0,0,0,0,0,0,4,0,0,0,0,2026
822956,2026-07-07,641355,"Bellinger, Cody",TB,4,4,1,1,0,0,0,0,0,2,0,0,0,1,2026
822956,2026-07-07,641857,"McMahon, Ryan",TB,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2026
822956,2026-07-07,642708,"Rosario, Amed",TB,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2026
822956,2026-07-07,645305,"Sánchez, Ali",TB,4,3,2,2,0,0,0,0,0,0,0,0,1,2,2026
822956,2026-07-07,663757,"Grisham, Trent",TB,5,5,1,0,1,0,0,0,0,2,0,0,0,2,2026
822956,2026-07-07,665862,"Chisholm Jr., Jazz",TB,4,4,1,1,0,0,0,0,0,2,0,0,0,1,2026
822956,2026-07-07,676609,"Caballero, José",TB,4,4,0,0,0,0,0,0,0,4,0,0,0,0,2026
822956,2026-07-07,680474,"Schuemann, Max",TB,2,2,1,1,0,0,0,0,0,1,0,0,0,1,2026
822956,2026-07-07,683011,"Volpe, Anthony",TB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822956,2026-07-07,691176,"Domínguez, Jasson",TB,2,2,1,1,0,0,0,0,0,0,0,0,0,1,2026
822956,2026-07-07,700250,"Rice, Ben",TB,4,4,3,2,0,0,1,0,0,0,0,0,3,6,2026
822957,2026-07-08,502671,"Goldschmidt, Paul",TB,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
