game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822907,2026-04-29,641555,"Escarra, J.C.",TEX,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822907,2026-04-29,641857,"McMahon, Ryan",TEX,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822907,2026-04-29,663757,"Grisham, Trent",TEX,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822907,2026-04-29,665862,"Chisholm Jr., Jazz",TEX,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822907,2026-04-29,676609,"Caballero, José",TEX,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
822907,2026-04-29,680474,"Schuemann, Max",TEX,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2026
822907,2026-04-29,691176,"Domínguez, Jasson",TEX,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2026
822907,2026-04-29,700250,"Rice, Ben",TEX,4,4,3,3,0,0,0,0,0,0,0,0,0,3,2026
822908,2026-04-28,592450,"Judge, Aaron",TEX,4,4,2,1,0,0,1,0,0,1,0,0,1,5,2026
822908,2026-04-28,641355,"Bellinger, Cody",TEX,4,4,1,0,1,0,0,0,0,1,0,0,1,2,2026
822908,2026-04-28,641857,"McMahon, Ryan",TEX,3,3,0,0,0,0,0,0,0,2,0,0,0,0,2026
822908,2026-04-28,663757,"Grisham, Trent",TEX,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2026
822908,2026-04-28,665862,"Chisholm Jr., Jazz",TEX,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822908,2026-04-28,669224,"Wells, Austin",TEX,3,3,2,1,0,0,1,0,0,0,0,0,1,5,2026
822908,2026-04-28,676609,"Caballero, José",TEX,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2026
822908,2026-04-28,691176,"Domínguez, Jasson",TEX,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822908,2026-04-28,700250,"Rice, Ben",TEX,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822954,2026-07-09,641355,"Bellinger, Cody",TB,5,5,2,2,0,0,0,0,0,0,0,0,1,2,2026
